0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	13	13
18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	31	31
36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	48	48	48	48	48
54	55	56	57	58	59	60	61	62	63	64	65	65	65	65	65	65	65	65	107
90	73	74	75	76	77	78	79	80	81	82	65	65	65	65	65	65	65	124	125
108	109	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	142	143
108	109	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	160	161
126	127	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	178	179
144	145	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	196	197
162	163	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	215
180	181	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	233
198	199	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	251
69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69	69
